NumEtudiant;Nom;Prenom;Nationalite;NumTelephone;Adresse;Email;Revenus
600489624;Rebecca;Armand;Francaise;06 98 75 49 87;93005;Armand.Rebecca@u-psud.fr;0
600798568;Aimelle;Hebert;Francaise;06 98 75 45 87;92548;Hebert.Aimelle@u-psud.fr;623
600508568;Ronan;Aidan;Central African Republic;05 80 00 35 23;32508;Aidan.Ronan@u-psud.fr;4
600489624;Zeph;Veda;Chile;07 06 56 49 95;32448;Veda.Zeph@u-psud.fr;1422
600798568;Troy;Omar;Portugal;09 73 86 16 83;61812;  ;916
600508568;Ivory;Regan;Namibia;08 08 49 82 53;21268;Regan.Ivory@u-psud.fr;1152
600489624;Arden;Nigel;Saudi Arabia;02 04 67 54 73;34730;Nigel.Arden@u-psud.fr;903
600798568;Avram;Tallulah;Maldives;06 05 07 30 91;79521;Tallulah.Avram@u-psud.fr;54
600508568;Alfonso;Allegra;Wallis and Futuna;07 76 62 53 31;84354;Allegra.Alfonso@u-psud.fr;681
;Piper;Kirk;Viet Nam;01 75 62 95 23;74262;Kirk.Piper@u-psud.fr;167
;Brielle;Lois;Cayman Islands;06 29 75 44 63;33261;Lois.Brielle@u-psud.fr;574
;Ivana;Bo;Wallis and Futuna;03 34 88 58 05;51169;Bo.Ivana@u-psud.fr;93
;Cooper;Ila;Guinea;05 44 35 72 12;18320;Ila.Cooper@u-psud.fr;122
600489624;Vladimir;Virginia;Latvia;07 96 29 14 59;98561;Virginia.Vladimir@u-psud.fr;397
600798568;Brent;Alvin;Ghana;06 53 88 49 52;73620;Alvin.Brent@u-psud.fr;165
600508568;Quintessa;Orli;British Indian Ocean Territory;01 48 91 62 01;32850;Orli.Quintessa@u-psud.fr;
;Dustin;Jasper;El Salvador;09 39 72 44 42;71914;Jasper.Dustin@u-psud.fr;
;Abbot;Allistair;Niue;09 19 03 16 73;78956; ;
;Madaline;Murphy;Philippines;03 16 20 71 67;79069;Murphy.Madaline@u-psud.fr;
;Kelsey;Sacha;United States;08 48 93 01 02;45977;Sacha.Kelsey@u-psud.fr;
